guid,gid,uid,vid
42,4087,1475,523
42,3901,1475,524
42,4249,1475,173
42,4088,1475,575
42,3878,1475,332
42,3901,1475,524
42,3926,1475,212
42,3893,1475,252
43,4330,1837,100
43,4243,1837,112
43,3893,1837,252
43,4223,1837,74
43,3904,1837,29
43,4136,1837,168
43,4243,1837,112
43,4249,1837,173
43,3918,1837,19
44,4197,3087,110
44,4312,3087,334
44,3918,3087,19
45,3841,2834,443
45,4328,2834,198
45,3805,2834,232
45,3808,2834,121
46,3956,8,544
46,4093,8,151
46,3944,8,285
46,4008,8,155
46,3951,8,227
46,4030,8,274
46,4011,8,316
46,4031,8,267
46,3952,8,335
46,3961,8,263
46,3958,8,318
46,3960,8,295
46,3963,8,292
46,3957,8,211
46,3950,8,236
46,3946,8,312
46,3956,8,544
46,4093,8,151
46,3944,8,285
46,4008,8,155
46,4031,8,267
46,3961,8,263
46,4030,8,274
46,3951,8,227
46,3952,8,335
47,3831,1335,626
47,3988,1335,429
47,3718,1335,451
47,4238,1335,64
47,3827,1335,497
47,4012,1335,461
47,3831,1335,626
47,4235,1335,84
47,3988,1335,429
47,4154,1335,128
47,3718,1335,451
48,4154,2589,128
48,4332,2589,358
48,4297,2589,398
48,4209,2589,306
48,3883,2589,554
49,3648,1248,423
49,4238,1248,64
49,3661,1248,127
49,3668,1248,468
49,3648,1248,423
49,3918,1248,19
49,3665,1248,99
49,3680,1248,406
49,3685,1248,286
49,4238,1248,64
49,4261,1248,394
49,3688,1248,452
50,4238,186,64
50,3908,186,85
50,3745,186,78
50,3749,186,77
50,3764,186,156
50,4299,186,269
50,3755,186,189
50,3760,186,142
50,3752,186,63
50,4050,186,282
50,3751,186,145
50,4299,186,269
50,3745,186,78
50,3752,186,63
50,3764,186,156
50,3755,186,189
50,3908,186,85
50,3760,186,142
50,4238,186,64
50,4050,186,282
50,3749,186,77
51,4328,1624,198
51,3799,1624,309
51,3746,1624,511
51,3766,1624,92
51,3790,1624,359
51,3792,1624,228
51,3794,1624,278
51,4007,1624,426
51,4328,1624,198
51,3794,1624,278
52,3793,2683,210
52,4309,2683,241
52,4049,2683,202
52,3670,2683,495
52,3918,2683,19
53,4049,2293,202
53,3918,2293,19
53,3794,2293,278
53,3790,2293,359
53,4077,2293,348
53,3793,2293,210
53,4063,2293,386
54,3728,3335,436
55,4093,1398,151
55,4032,1398,302
55,3808,1398,121
55,4300,1398,93
55,3802,1398,200
55,4008,1398,155
55,3802,1398,200
55,4300,1398,93
55,3752,1398,63
55,3808,1398,121
55,3795,1398,225
56,4330,1145,100
56,4243,1145,112
56,4327,1145,248
56,3977,1145,186
56,4017,1145,276
56,4303,1145,305
56,4037,1145,147
56,4327,1145,248
56,4037,1145,147
56,4243,1145,112
56,4116,1145,175
56,4017,1145,276
56,4226,1145,503
56,4303,1145,305
57,3708,1415,537
57,3706,1415,564
57,4037,1415,147
57,4069,1415,133
57,3737,1415,352
57,4196,1415,380
57,3977,1415,186
57,3977,1415,186
57,4316,1415,230
57,3708,1415,537
57,3706,1415,564
58,4260,2532,289
58,4069,2532,133
58,4260,2532,289
58,4198,2532,204
58,4040,2532,361
59,4335,1545,397
59,3715,1545,442
59,4212,1545,466
59,4033,1545,261
59,3726,1545,262
59,4223,1545,74
59,4212,1545,466
59,3820,1545,445
59,3726,1545,262
59,3718,1545,451
60,3684,1038,594
60,3694,1038,588
60,4075,1038,372
60,3647,1038,194
60,3651,1038,158
60,3659,1038,117
60,3644,1038,115
60,3675,1038,411
60,3643,1038,323
60,3713,1038,407
60,3683,1038,138
60,3679,1038,89
60,3702,1038,447
60,3681,1038,238
60,3646,1038,402
60,3712,1038,540
61,4036,1553,164
61,3918,1553,19
61,3794,1553,278
61,4032,1553,302
61,4205,1553,606
61,4037,1553,147
61,4041,1553,102
61,3988,1553,429
61,4075,1553,372
61,4257,1553,216
62,4214,1330,563
62,3650,1330,104
62,3651,1330,158
62,3665,1330,99
62,3702,1330,447
62,3661,1330,127
62,3647,1330,194
62,3702,1330,447
62,4214,1330,563
62,3665,1330,99
62,4051,1330,150
63,3748,2593,581
63,4203,2593,326
63,3752,2593,63
63,3771,2593,178
63,3669,2593,623
64,3794,1786,278
64,4049,1786,202
64,4035,1786,233
64,3795,1786,225
64,3893,1786,252
64,3915,1786,51
64,3808,1786,121
64,4249,1786,173
64,4330,1786,100
65,3918,2760,19
65,4314,2760,576
65,4216,2760,258
65,3904,2760,29
66,3876,2003,339
66,4224,2003,508
66,3700,2003,381
66,4017,2003,276
66,3877,2003,375
66,4049,2003,202
66,3876,2003,339
66,4049,2003,202
67,3893,1774,252
67,4201,1774,629
67,3899,1774,526
67,3915,1774,51
67,3899,1774,526
67,3893,1774,252
67,4314,1774,576
67,3859,1774,616
67,3846,1774,239
68,4300,3289,93
68,4063,3289,386
69,4154,1982,128
69,3981,1982,59
69,3918,1982,19
69,4223,1982,74
69,4225,1982,97
69,3915,1982,51
69,4154,1982,128
69,4331,1982,149
70,3860,1331,504
70,3651,1331,158
70,4300,1331,93
70,3926,1331,212
70,4026,1331,663
70,3860,1331,504
70,3926,1331,212
70,3651,1331,158
70,3665,1331,99
70,4300,1331,93
70,4048,1331,75
71,4032,1828,302
71,3749,1828,77
71,4093,1828,151
71,3745,1828,78
71,4202,1828,356
71,3752,1828,63
71,3765,1828,196
71,4249,1828,173
71,3744,1828,279
72,4242,1551,488
72,3808,1551,121
72,3988,1551,429
72,4085,1551,137
72,4056,1551,647
72,4223,1551,74
72,4235,1551,84
72,3880,1551,72
72,3805,1551,232
72,3918,1551,19
73,3918,1935,19
73,4049,1935,202
73,3904,1935,29
73,4238,1935,64
73,3918,1935,19
73,3915,1935,51
73,4129,1935,412
73,4050,1935,282
74,3794,10,278
74,4235,10,84
74,3792,10,228
74,4309,10,241
74,3702,10,447
74,3790,10,359
74,3795,10,225
74,3793,10,210
74,3808,10,121
74,4328,10,198
74,3791,10,433
74,3799,10,309
74,3802,10,200
74,4035,10,233
74,3797,10,171
74,4328,10,198
74,3808,10,121
74,3795,10,225
74,4235,10,84
74,3793,10,210
74,3794,10,278
74,3792,10,228
74,3702,10,447
74,4309,10,241
74,3790,10,359
75,4050,2668,282
75,4050,2668,282
75,4235,2668,84
75,4300,2668,93
75,3702,2668,447
76,4050,903,282
76,4120,903,161
76,3702,903,447
76,4130,903,349
76,4285,903,135
76,4116,903,175
76,4119,903,141
76,3713,903,407
76,4117,903,247
76,4128,903,143
76,4238,903,64
76,4110,903,136
76,4287,903,129
76,4290,903,294
76,4279,903,193
76,4135,903,122
76,4119,903,141
76,3713,903,407
77,4050,1504,282
77,3992,1504,513
77,4330,1504,100
77,4335,1504,397
77,4300,1504,93
77,4243,1504,112
77,3732,1504,291
77,4047,1504,271
77,4330,1504,100
77,4300,1504,93
78,4224,2496,508
78,4040,2496,361
78,3792,2496,228
78,3876,2496,339
78,4035,2496,233
78,3841,2496,443
79,4100,876,404
79,3977,876,186
79,4188,876,300
79,4316,876,230
79,4327,876,248
79,4037,876,147
79,4276,876,214
79,3708,876,537
79,3892,876,481
79,4133,876,463
79,3979,876,437
79,3971,876,231
79,4210,876,371
79,4327,876,248
79,3977,876,186
79,4276,876,214
79,4100,876,404
79,3708,876,537
80,4326,1548,500
80,4260,1548,289
80,4220,1548,338
80,4212,1548,466
80,4335,1548,397
80,4199,1548,172
80,4196,1548,380
80,4038,1548,183
80,4040,1548,361
80,3721,1548,336
81,3878,1477,332
81,4197,1477,110
81,3856,1477,378
81,4224,1477,508
81,4136,1477,168
81,4242,1477,488
81,3870,1477,377
81,3880,1477,72
81,4197,1477,110
81,3856,1477,378
82,4037,1337,147
82,3977,1337,186
82,4198,1337,204
82,4069,1337,133
82,4188,1337,300
82,4316,1337,230
82,3892,1337,481
82,4069,1337,133
82,4199,1337,172
82,4188,1337,300
82,3979,1337,437
83,3700,1365,381
83,3918,1365,19
83,4198,1365,204
83,4330,1365,100
83,4040,1365,361
83,3791,1365,433
83,4035,1365,233
83,3783,1365,561
83,3988,1365,429
83,4049,1365,202
83,3700,1365,381
84,3876,1253,339
84,3878,1253,332
84,3988,1253,429
84,3870,1253,377
84,3876,1253,339
84,3877,1253,375
