guid,gid,uid,vid
97,5685,2685,1150
97,5309,2685,70
97,5497,2685,133
98,5515,3345,15
98,5497,3345,133
100,5196,2775,221
100,5515,2775,15
100,4979,2775,7
100,5660,2775,33
100,4996,2775,73
100,5309,2775,70
102,5309,2456,70
102,5497,2456,133
102,5099,2456,186
102,5660,2456,33
102,5515,2456,15
102,4979,2456,7
102,5139,2456,8
102,5285,2456,0
102,5491,2456,132
103,4947,2117,9
103,5515,2117,15
103,5674,2117,21
103,5145,2117,51
103,5497,2117,133
103,5309,2117,70
103,4979,2117,7
103,5491,2117,132
103,5139,2117,8
103,4978,2117,4
104,5843,2049,1
104,4984,2049,5
104,5122,2049,152
104,5843,2049,1
104,5138,2049,127
104,5900,2049,2
104,5903,2049,3
104,4978,2049,4
104,5938,2049,27
104,4984,2049,5
104,5655,2049,174
105,5776,1937,30
105,5633,1937,444
105,5858,1937,120
105,4984,1937,5
105,5877,1937,64
105,4984,1937,5
105,5657,1937,125
105,5421,1937,49
105,5877,1937,64
105,5858,1937,120
105,5776,1937,30
105,5633,1937,444
105,4998,1937,29
106,5838,3016,26
106,5903,3016,3
106,5842,3016,20
106,4984,3016,5
106,5838,3016,26
107,5663,2998,482
107,5017,2998,984
107,5124,2998,41
107,5662,2998,814
107,5644,2998,112
108,5122,2797,152
108,5644,2797,112
108,5489,2797,261
108,5427,2797,704
108,5124,2797,41
108,5136,2797,240
109,5489,3439,261
109,4979,3439,7
110,5468,2496,318
110,4943,2496,775
110,5838,2496,26
110,5903,2496,3
110,5900,2496,2
110,5489,2496,261
110,4979,2496,7
110,5421,2496,49
111,5903,2846,3
111,4979,2846,7
111,4978,2846,4
111,4977,2846,12
111,5843,2846,1
111,4998,2846,29
112,4979,1498,7
112,5903,1498,3
112,4984,1498,5
112,5843,1498,1
112,4977,1498,12
112,4978,1498,4
112,5285,1498,0
112,5900,1498,2
112,5776,1498,30
112,5838,1498,26
112,4998,1498,29
112,5877,1498,64
112,5938,1498,27
112,4979,1498,7
112,5903,1498,3
112,4984,1498,5
112,4978,1498,4
112,4977,1498,12
112,5776,1498,30
112,5843,1498,1
113,5107,2853,252
113,5107,2853,252
113,5941,2853,375
113,4984,2853,5
113,5778,2853,99
113,5098,2853,111
114,5900,2031,2
114,5903,2031,3
114,5843,2031,1
114,4977,2031,12
114,4978,2031,4
114,5657,2031,125
114,5903,2031,3
114,5900,2031,2
114,5938,2031,27
114,5285,2031,0
114,4977,2031,12
114,5843,2031,1
115,5468,2612,318
115,5838,2612,26
115,5499,2612,627
115,5135,2612,536
115,5427,2612,704
115,5124,2612,41
115,5858,2612,120
